customer_id,age,tenure_months,product_count,avg_balance,monthly_txn_count,clv_inr,complaints_open,nps_score,competitor_inquiry,app_login_days,intl_transfer_dormancy,emotion_label,emotion_name,churn_probability,risk_tier,churn
CUST0001,43,31,3,15022,18,13082,1,3.3,0,20,1,1,Confused,0.149,low,0
CUST0002,36,25,1,6487,14,2629,0,6.9,0,10,1,0,Satisfied,0.2385,low,0
CUST0003,45,13,3,49556,21,31747,0,2.0,0,14,0,1,Confused,0.01,low,0
CUST0004,56,120,1,266838,8,172801,3,6.3,1,26,0,4,Comparison-shopping,0.0248,low,0
CUST0005,35,27,1,36139,9,21458,0,10.0,0,21,0,0,Satisfied,0.01,low,0
CUST0006,35,8,2,71025,14,48783,0,4.2,0,30,0,1,Confused,0.0228,low,0
CUST0007,56,3,1,38772,14,16978,0,4.4,0,27,0,1,Confused,0.1276,low,0
CUST0008,47,4,3,33553,11,21191,0,7.8,0,27,0,0,Satisfied,0.0616,low,0
CUST0009,32,8,3,75755,13,39642,0,3.0,1,6,0,3,Price-sensitive,0.2574,low,0
CUST0010,44,5,2,28789,20,20065,0,4.9,0,24,0,1,Confused,0.0671,low,0
CUST0011,32,6,1,44977,15,17304,1,7.5,0,17,0,0,Satisfied,0.048,low,0
CUST0012,32,10,1,46974,18,30182,0,4.9,0,13,1,1,Confused,0.237,low,0
CUST0013,40,5,2,21280,15,8749,0,5.7,0,19,1,0,Satisfied,0.1325,low,0
CUST0014,21,68,4,80308,11,37518,0,7.8,0,25,0,0,Satisfied,0.0672,low,0
CUST0015,21,2,2,31572,15,13614,0,7.1,0,22,1,0,Satisfied,0.0832,low,0
CUST0016,31,22,1,19838,9,8127,1,6.8,0,10,1,0,Satisfied,0.2451,low,0
CUST0017,25,15,2,55782,13,44370,3,5.5,1,23,0,4,Comparison-shopping,0.268,low,0
CUST0018,41,120,2,17698,9,8343,0,7.0,0,12,0,0,Satisfied,0.0582,low,0
CUST0019,27,3,3,37143,17,31804,2,5.9,0,19,1,2,Frustrated,0.1637,low,0
CUST0020,21,15,1,36051,7,31795,1,7.2,1,15,1,2,Frustrated,0.5346,medium,1
CUST0021,55,104,3,86570,16,55643,1,5.2,1,16,1,2,Frustrated,0.039,low,0
CUST0022,35,60,2,53090,15,20482,0,5.8,0,24,1,0,Satisfied,0.01,low,0
CUST0023,38,50,4,35595,15,18677,0,4.1,1,9,0,3,Price-sensitive,0.1429,low,0
CUST0024,21,8,1,69857,15,54393,0,6.1,1,30,0,2,Frustrated,0.0931,low,0
CUST0025,31,5,2,110433,17,57473,1,4.5,0,3,0,1,Confused,0.1029,low,0
CUST0026,39,33,4,56740,20,19984,0,3.9,0,13,0,1,Confused,0.01,low,0
CUST0027,24,79,1,36617,14,23217,2,6.7,0,20,0,2,Frustrated,0.0921,low,0
CUST0028,42,24,4,12714,12,10261,0,6.6,1,22,0,2,Frustrated,0.1768,low,0
CUST0029,30,25,2,15489,15,12043,0,7.8,0,17,0,0,Satisfied,0.0504,low,0
CUST0030,34,9,1,28447,9,11523,1,5.3,0,17,1,0,Satisfied,0.3128,medium,0
CUST0031,30,44,1,22301,12,15692,0,7.1,1,21,0,2,Frustrated,0.2144,low,0
CUST0032,60,6,2,31270,16,13518,0,7.4,0,16,0,0,Satisfied,0.0754,low,0
CUST0033,37,11,1,37999,16,16374,1,7.1,0,29,0,0,Satisfied,0.0409,low,0
CUST0034,25,16,2,55478,12,45738,2,4.5,0,24,0,3,Price-sensitive,0.01,low,0
CUST0035,47,21,1,34324,13,15438,1,6.5,0,24,1,0,Satisfied,0.1121,low,0
CUST0036,23,8,2,53594,20,24543,1,7.0,1,10,1,2,Frustrated,0.3244,medium,0
CUST0037,40,3,1,38237,12,11486,1,6.2,0,17,1,0,Satisfied,0.2546,low,0
CUST0038,21,28,3,7477,12,6149,3,1.8,1,15,0,4,Comparison-shopping,0.514,medium,1
CUST0039,22,10,4,17129,16,13284,0,6.5,0,9,0,0,Satisfied,0.1473,low,0
CUST0040,40,26,4,32361,12,21888,0,10.0,0,20,0,0,Satisfied,0.01,low,0
CUST0041,46,5,2,13797,13,10349,0,5.4,1,13,0,2,Frustrated,0.3316,medium,0
CUST0042,40,19,1,58685,19,22959,0,4.7,0,23,1,1,Confused,0.1566,low,0
CUST0043,36,22,3,123574,9,71054,1,7.0,0,9,1,0,Satisfied,0.0998,low,0
CUST0044,34,1,1,96279,16,49172,1,6.9,0,30,1,0,Satisfied,0.0838,low,0
CUST0045,21,12,1,30615,12,10907,1,8.7,1,10,0,2,Frustrated,0.3531,medium,0
CUST0046,29,4,1,119680,13,70812,0,3.6,0,19,1,1,Confused,0.0787,low,0
CUST0047,32,1,2,40901,16,34865,1,7.7,0,24,0,0,Satisfied,0.0306,low,0
CUST0048,50,120,3,27731,12,8985,0,7.4,0,13,1,0,Satisfied,0.01,low,0
CUST0049,42,11,2,22231,16,10556,1,5.9,0,24,0,0,Satisfied,0.1231,low,0
CUST0050,21,49,2,28510,14,12103,1,6.9,1,8,0,2,Frustrated,0.1875,low,0
CUST0051,41,8,1,26621,13,11790,0,8.4,0,29,0,0,Satisfied,0.01,low,0
CUST0052,33,34,4,41619,10,35170,0,8.0,0,18,1,0,Satisfied,0.1565,low,0
CUST0053,29,42,2,41293,17,23984,0,3.8,0,13,0,1,Confused,0.07,low,0
CUST0054,45,27,2,36404,12,21106,2,7.9,0,15,0,2,Frustrated,0.0247,low,0
CUST0055,50,19,1,51510,15,38959,2,6.1,1,24,1,4,Comparison-shopping,0.3756,medium,0
CUST0056,49,15,3,94137,23,36967,1,6.4,0,13,0,0,Satisfied,0.0576,low,0
CUST0057,27,12,2,77624,13,45981,0,6.4,1,12,0,2,Frustrated,0.2638,low,0
CUST0058,34,79,1,11070,14,6176,0,5.9,0,16,0,0,Satisfied,0.01,low,0
CUST0059,41,53,1,5000,15,3290,1,8.7,0,8,0,0,Satisfied,0.1442,low,0
CUST0060,49,100,2,76684,13,68995,1,6.0,1,30,1,2,Frustrated,0.1108,low,0
CUST0061,32,3,2,12167,11,9267,0,3.8,0,13,1,1,Confused,0.2161,low,0
CUST0062,35,39,1,30338,6,16343,0,5.4,1,24,0,2,Frustrated,0.1898,low,0
CUST0063,24,83,4,14241,15,11343,1,6.6,1,19,1,2,Frustrated,0.0814,low,0
CUST0064,23,5,1,8590,15,3456,0,8.8,0,10,0,0,Satisfied,0.1422,low,0
CUST0065,47,2,2,56003,13,17824,0,7.5,0,17,0,0,Satisfied,0.066,low,0
CUST0066,54,40,4,66657,14,28173,0,4.4,1,24,0,3,Price-sensitive,0.1252,low,0
CUST0067,37,25,2,22897,15,11545,0,10.0,0,16,0,0,Satisfied,0.1011,low,0
CUST0068,50,55,2,5000,15,3031,2,6.8,0,27,0,2,Frustrated,0.0119,low,0
CUST0069,42,4,2,23458,13,15695,3,8.9,0,26,1,2,Frustrated,0.094,low,0
CUST0070,30,47,1,49684,14,42050,1,5.9,0,25,1,0,Satisfied,0.0786,low,0
CUST0071,42,6,4,11124,20,6740,0,7.3,1,14,0,2,Frustrated,0.2605,low,0
CUST0072,56,5,2,42053,14,25263,0,8.0,0,9,0,0,Satisfied,0.1035,low,0
CUST0073,37,5,3,35873,9,11843,0,8.8,0,13,1,0,Satisfied,0.1221,low,0
CUST0074,56,50,1,57724,9,18526,0,8.4,0,19,1,0,Satisfied,0.0665,low,0
CUST0075,21,32,1,39961,22,25203,1,8.0,0,22,1,0,Satisfied,0.1653,low,0
CUST0076,47,22,1,16672,14,9384,0,5.5,0,0,0,0,Satisfied,0.2206,low,0
CUST0077,39,13,2,94585,15,75999,0,5.0,1,17,1,2,Frustrated,0.1895,low,0
CUST0078,34,62,2,31989,11,12680,0,6.9,0,19,0,0,Satisfied,0.01,low,0
CUST0079,39,14,3,35530,17,11191,0,8.2,1,15,0,2,Frustrated,0.1644,low,0
CUST0080,21,50,2,17212,14,9800,0,5.7,1,28,0,2,Frustrated,0.1745,low,0
CUST0081,35,17,4,25472,15,11271,0,8.4,0,21,0,0,Satisfied,0.0418,low,0
CUST0082,42,14,1,17892,10,5900,4,9.3,0,28,0,2,Frustrated,0.1954,low,0
CUST0083,55,18,3,31623,19,23235,0,4.3,0,16,0,1,Confused,0.0506,low,0
CUST0084,31,10,3,142823,13,52409,0,4.4,0,25,0,1,Confused,0.0801,low,0
CUST0085,28,41,3,12118,16,8058,2,5.9,1,30,1,4,Comparison-shopping,0.3456,medium,0
CUST0086,31,20,3,9988,16,4680,4,6.8,1,28,0,4,Comparison-shopping,0.3815,medium,0
CUST0087,48,7,3,117822,12,47611,1,5.1,0,9,0,0,Satisfied,0.0837,low,0
CUST0088,41,68,2,30716,18,16213,2,9.0,0,15,0,2,Frustrated,0.0372,low,0
CUST0089,31,14,1,21263,12,16603,0,7.1,1,15,1,2,Frustrated,0.3155,medium,0
CUST0090,44,23,1,83443,17,44663,0,6.3,1,21,0,2,Frustrated,0.1703,low,0
CUST0091,39,71,3,22370,16,16787,0,3.2,0,23,0,1,Confused,0.0343,low,0
CUST0092,49,29,2,156499,18,58732,1,3.4,0,11,0,1,Confused,0.0548,low,0
CUST0093,29,3,3,62463,8,47700,1,6.8,0,18,1,0,Satisfied,0.1157,low,0
CUST0094,34,84,2,24579,7,10867,0,1.7,1,1,1,3,Price-sensitive,0.2811,low,0
CUST0095,33,29,1,203994,13,144108,0,8.3,0,29,0,0,Satisfied,0.01,low,0
CUST0096,21,12,1,22368,12,14303,1,5.9,0,13,0,0,Satisfied,0.2436,low,0
CUST0097,41,4,2,65754,14,56383,0,10.0,0,18,1,0,Satisfied,0.0517,low,0
CUST0098,41,47,2,46139,7,24564,1,10.0,0,15,0,0,Satisfied,0.1468,low,0
CUST0099,38,29,1,102887,6,34950,1,5.8,0,27,0,0,Satisfied,0.0713,low,0
CUST0100,35,22,2,126653,13,39451,1,6.0,1,0,0,2,Frustrated,0.1346,low,0
CUST0101,21,67,1,37257,11,29660,1,8.3,0,17,0,0,Satisfied,0.0387,low,0
CUST0102,32,46,2,19875,13,12219,2,9.8,0,17,0,2,Frustrated,0.0265,low,0
CUST0103,33,4,1,52468,12,40145,0,2.8,0,14,0,1,Confused,0.0576,low,0
CUST0104,28,11,3,21116,11,9304,1,2.4,0,30,1,1,Confused,0.2478,low,0
CUST0105,36,8,1,181808,12,92185,1,4.9,0,10,1,1,Confused,0.1324,low,0
CUST0106,42,40,2,40506,14,12883,0,7.4,0,24,0,0,Satisfied,0.0553,low,0
CUST0107,60,1,1,27112,15,23774,0,7.2,0,20,1,0,Satisfied,0.1818,low,0
CUST0108,40,25,1,42097,11,29498,0,8.4,0,28,0,0,Satisfied,0.01,low,0
CUST0109,41,43,2,12360,15,10628,0,3.7,0,12,0,1,Confused,0.0528,low,0
CUST0110,37,62,2,16692,11,7666,1,1.3,0,12,0,1,Confused,0.1377,low,0
CUST0111,21,12,2,94876,11,63270,2,8.0,1,26,1,4,Comparison-shopping,0.1686,low,0
CUST0112,37,51,1,21471,15,15182,0,4.5,1,21,1,3,Price-sensitive,0.1279,low,0
CUST0113,38,3,2,15716,17,7709,0,2.0,0,5,1,1,Confused,0.2929,low,0
CUST0114,67,56,3,55788,5,45124,3,6.5,0,13,1,2,Frustrated,0.135,low,0
